DATE,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
2023-06-14,3243.7,3255.85,3225.85,3243.7,3245.3,3251.05,3244.95,3575.0,2926.1,1658544,5381890991.7,92990
2023-06-15,3245.3,3247.45,3210.0,3251.05,3215.3,3216.3,3225.77,3575.0,2926.1,2273810,7334785641.4,104925
2023-06-16,3197.0,3199.4,3156.0,3216.3,3177.3,3174.9,3175.76,3575.0,2926.1,4156189,13199071871.5,214155
2023-06-19,3190.0,3214.9,3175.0,3174.9,3207.1,3210.4,3194.51,3575.0,2926.1,1468186,4690130908.9,88271
2023-06-20,3214.0,3232.5,3201.05,3210.4,3229.9,3227.7,3218.86,3575.0,2926.1,1528452,4919876426.1,72353
2023-06-21,3250.0,3261.4,3223.95,3227.7,3257.0,3258.2,3247.51,3575.0,2926.1,1645987,5345359097.25,91009
2023-06-22,3260.0,3267.65,3230.1,3258.2,3240.5,3238.5,3246.23,3575.0,2926.1,1529603,4965444088.75,83159
2023-06-23,3237.3,3249.4,3209.15,3238.5,3213.9,3216.35,3221.22,3575.0,2926.1,1119505,3606176034.7,67908
2023-06-26,3205.0,3213.9,3173.0,3216.35,3190.0,3189.65,3189.39,3575.0,2926.1,1978803,6311173590.25,107706
2023-06-27,3202.0,3209.65,3182.3,3189.65,3197.3,3197.35,3194.42,3575.0,2926.1,863542,2758515355.75,67679
2023-06-28,3208.0,3230.95,3193.4,3197.35,3221.0,3215.45,3215.84,3575.0,2926.1,1575872,5067755614.75,125121
2023-06-30,3220.0,3310.0,3214.1,3215.45,3298.4,3302.25,3280.38,3575.0,2926.1,2672406,8766501093.15,205777
2023-07-03,3314.3,3318.8,3268.75,3302.25,3274.0,3272.3,3286.37,3575.0,2926.1,1687264,5544970019.55,120543
2023-07-04,3290.0,3315.0,3277.3,3272.3,3307.0,3308.85,3298.36,3575.0,2926.1,1656681,5464337453.05,100235
2023-07-05,3320.0,3329.0,3305.0,3308.85,3322.0,3319.95,3318.57,3575.0,2926.1,1453008,4821906492.95,92949
2023-07-06,3306.55,3328.45,3302.0,3319.95,3321.3,3322.9,3314.41,3575.0,2926.1,1848238,6125814363.75,82587
2023-07-07,3302.0,3356.9,3302.0,3322.9,3321.0,3329.25,3334.15,3575.0,2926.1,1789326,5965881074.45,130328
2023-07-10,3324.75,3324.75,3265.2,3329.25,3277.0,3271.95,3283.62,3575.0,2926.1,1407431,4621463700.65,113059
2023-07-11,3295.0,3295.0,3260.8,3271.95,3272.0,3272.4,3277.42,3575.0,2926.1,1110172,3638501368.95,89756
2023-07-12,3280.95,3289.15,3250.1,3272.4,3260.95,3259.9,3266.42,3575.0,2926.1,1515240,4949416309.1,120424
2023-07-13,3284.0,3367.45,3272.75,3259.9,3344.5,3340.55,3338.97,3575.0,2926.1,4585146,15309671101.45,245158
2023-07-14,3365.0,3524.85,3352.0,3340.55,3509.0,3514.65,3443.41,3575.0,2926.1,6306101,21714518276.5,318436
2023-07-17,3510.0,3549.9,3477.05,3514.65,3488.0,3491.7,3512.83,3575.0,2926.1,2743228,9636496606.9,221755
2023-07-18,3476.0,3524.0,3465.0,3491.7,3492.45,3496.85,3496.72,3575.0,2926.1,2600090,9091781942.5,159053
2023-07-19,3500.0,3516.85,3445.65,3496.85,3469.0,3470.05,3476.09,3575.0,2926.1,2405370,8361286032.75,131215
2023-07-20,3453.1,3478.9,3436.05,3470.05,3461.6,3463.3,3453.22,3575.0,2926.1,1715404,5923659535.2,99611
2023-07-21,3404.05,3434.9,3359.05,3463.3,3374.0,3368.3,3396.22,3575.0,2926.1,3770223,12804501433.35,167464
2023-07-24,3381.0,3413.45,3372.1,3368.3,3393.0,3394.75,3397.83,3575.0,2926.1,1680132,5708798867.65,124293
2023-07-25,3397.5,3406.8,3380.2,3394.75,3400.0,3399.15,3396.67,3575.0,2926.1,1272980,4323895800.15,134482
2023-07-26,3400.35,3420.85,3385.0,3399.15,3394.0,3388.3,3399.91,3575.0,2926.1,1066803,3627035565.2,101692
2023-07-27,3394.95,3411.65,3385.05,3388.3,3398.0,3396.9,3395.09,3575.0,2926.1,1701769,5777660069.25,125535
2023-07-28,3385.0,3393.7,3331.0,3396.9,3354.0,3355.4,3352.74,3575.0,2926.1,2599831,8716557269.3,127470
2023-07-31,3364.4,3426.65,3360.9,3355.4,3415.0,3421.45,3406.98,3575.0,2926.1,2743678,9347645416.85,121298
2023-08-01,3415.0,3460.0,3415.0,3421.45,3450.1,3452.05,3443.71,3575.0,2926.1,1956167,6736474356.4,101249
2023-08-02,3434.95,3446.4,3413.6,3452.05,3433.0,3440.65,3435.39,3575.0,2926.1,1914899,6578428884.55,116337
2023-08-03,3420.0,3433.25,3368.0,3440.65,3397.0,3399.95,3397.85,3575.0,2926.1,2026351,6885230549.2,136745
2023-08-04,3401.25,3471.0,3401.25,3399.95,3441.05,3443.55,3445.2,3575.0,2926.1,2248493,7746518305.9,118974
2023-08-07,3453.95,3488.0,3441.25,3443.55,3482.9,3484.05,3467.58,3575.0,2926.1,1853889,6428512875.3,108103
2023-08-08,3484.05,3489.95,3456.6,3484.05,3469.0,3470.6,3470.86,3575.0,2926.1,1634225,5672169905.3,119523
2023-08-09,3464.9,3467.0,3425.05,3470.6,3460.85,3462.5,3449.06,3575.0,2926.1,1794589,6189641425.5,89275
2023-08-10,3450.0,3464.9,3430.05,3462.5,3448.25,3442.1,3442.07,3575.0,2926.1,1096701,3774918908.55,76539
2023-08-11,3438.1,3466.65,3414.0,3442.1,3444.5,3448.8,3444.54,3575.0,2926.1,1679974,5786738907.2,142622
2023-08-14,3440.7,3455.0,3411.0,3448.8,3448.0,3449.85,3434.19,3575.0,2926.1,1190425,4088141282.4,145261
2023-08-16,3450.0,3466.0,3435.2,3449.85,3450.7,3458.4,3453.07,3575.0,2926.1,1328445,4587215413.45,102457
2023-08-17,3455.0,3460.8,3413.2,3458.4,3425.9,3435.75,3435.28,3575.0,2926.1,1843241,6332040272.5,122489
2023-08-18,3410.0,3410.0,3356.5,3435.75,3368.0,3367.1,3373.82,3575.0,2926.1,2526749,8524793143.1,150157
2023-08-21,3375.0,3409.75,3372.0,3367.1,3400.05,3401.65,3396.9,3575.0,2926.1,1375579,4672710451.45,90178
2023-08-22,3400.0,3411.0,3365.05,3401.65,3383.1,3382.15,3379.46,3575.0,2926.1,1222012,4129742131.95,105529
2023-08-23,3388.0,3402.0,3376.0,3382.15,3389.2,3398.25,3392.66,3575.0,2926.1,1330046,4512393621.55,74093
2023-08-24,3408.0,3413.05,3378.1,3398.25,3391.0,3387.75,3392.89,3575.0,2926.1,1152881,3911601781.55,83377
2023-08-25,3375.0,3385.8,3350.25,3387.75,3374.0,3381.3,3371.84,3575.0,2926.1,1158046,3904744950.05,87415
2023-08-28,3394.0,3394.0,3360.1,3381.3,3373.0,3375.55,3374.18,3575.0,2926.1,1037485,3500663941.25,80009
2023-08-29,3381.05,3389.55,3365.0,3375.55,3375.0,3376.15,3375.62,3575.0,2926.1,944517,3188333020.15,68937
2023-08-30,3398.0,3408.1,3383.05,3376.15,3391.0,3390.95,3397.7,3575.0,2926.1,1188200,4037149090.8,83244
2023-08-31,3401.0,3417.4,3343.65,3390.95,3361.0,3356.8,3369.12,3575.0,2926.1,3417652,11514468309.55,125169
2023-09-01,3366.0,3389.0,3356.8,3356.8,3374.0,3379.2,3379.92,3575.0,2926.1,1277950,4319372822.65,148744
2023-09-04,3378.0,3432.85,3370.05,3379.2,3418.5,3418.5,3405.13,3575.0,2926.1,1828332,6225711646.35,114654
2023-09-05,3420.0,3447.0,3405.15,3418.5,3425.65,3429.35,3430.4,3575.0,2926.1,1501842,5151924571.65,100120
2023-09-06,3434.0,3443.9,3398.1,3429.35,3421.6,3429.9,3424.44,3575.0,2926.1,1314818,4502511185.6,99523
2023-09-07,3430.8,3460.0,3422.3,3429.9,3458.0,3455.25,3443.88,3575.0,2926.1,1885092,6492039521.45,143528
2023-09-08,3455.25,3465.0,3435.05,3455.25,3445.0,3441.9,3446.91,3575.0,2926.1,1518917,5235563741.25,88984
2023-09-11,3462.0,3485.7,3445.0,3441.9,3481.0,3480.65,3471.77,3575.0,2926.1,1783604,6192269892.25,111418
2023-09-12,3492.0,3589.9,3483.0,3480.65,3572.6,3580.8,3550.35,3589.9,2926.1,4476016,15891401853.45,242752
2023-09-13,3571.1,3588.85,3545.0,3580.8,3561.5,3567.85,3568.13,3589.9,2926.1,1754929,6261806697.4,138829
2023-09-14,3570.05,3597.7,3545.6,3567.85,3562.35,3560.05,3563.35,3597.7,2926.1,2604721,9281527868.2,146192
2023-09-15,3567.85,3607.35,3562.45,3560.05,3591.55,3598.3,3591.93,3607.35,2926.1,2952897,10606611878.75,139252
2023-09-18,3580.05,3619.3,3575.25,3598.3,3605.0,3606.15,3605.1,3619.3,2926.1,1395753,5031835082.65,97296
2023-09-20,3580.0,3625.0,3580.0,3606.15,3600.1,3606.05,3612.14,3625.0,2926.1,1649396,5957855338.4,127927
