DATE,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES,Return,MA_20,MA_50,Target
2025-03-13,3502.3,3524.3,3484.1,3506.2,3509.05,3511.05,3504.71,4592.25,3457.0,1693004,5933491139.45,98963,0.001383263932462686,3667.0150000000003,3929.385,0
2025-03-17,3489.0,3530.45,3477.35,3511.05,3499.9,3497.7,3496.62,4592.25,3457.0,2690906,9409068295.75,171510,-0.0038022813688214363,3646.3924999999995,3917.341,1
2025-03-18,3502.35,3556.95,3478.45,3497.7,3545.65,3552.45,3530.44,4592.25,3457.0,3069109,10835299304.9,139204,0.015653143494296362,3627.2725,3906.49,0
2025-03-19,3547.0,3547.0,3462.75,3552.45,3505.0,3497.1,3484.81,4592.25,3457.0,3051244,10632994898.7,181144,-0.01558079635181353,3606.9025,3895.8660000000004,1
2025-03-20,3512.0,3578.95,3512.0,3497.1,3556.5,3563.15,3559.81,4592.25,3457.0,2845192,10128343015.65,156792,0.018887077864516266,3591.4,3884.9610000000002,1
2025-03-21,3475.0,3616.25,3465.0,3563.15,3578.0,3578.1,3561.68,4592.25,3457.0,4161925,14823464307.85,188951,0.004195725692154317,3581.1,3875.7460000000005,1
2025-03-24,3600.0,3649.75,3566.6,3578.1,3633.0,3628.95,3615.19,4592.25,3457.0,1834751,6632970557.7,107825,0.01421145300578508,3573.5775000000003,3863.012,1
2025-03-25,3645.0,3710.0,3638.0,3628.95,3641.0,3657.75,3673.54,4592.25,3457.0,3135390,11517985340.8,181313,0.00793617988674411,3567.165,3850.345,0
2025-03-26,3647.75,3680.5,3625.85,3657.75,3630.55,3635.8,3656.16,4592.25,3457.0,1734499,6341597992.4,141204,-0.006000956872394214,3565.175,3838.4,1
2025-03-27,3614.85,3663.0,3610.5,3635.8,3645.0,3651.2,3649.02,4592.25,3457.0,2528474,9226448354.45,125080,0.004235656526761611,3566.2574999999997,3826.4320000000002,0
2025-03-28,3651.0,3660.95,3591.9,3651.2,3604.0,3606.15,3613.75,4592.25,3457.0,2051919,7415124946.4,129740,-0.01233840929009633,3565.9375,3814.429,0
